db,float
-70,0.0
-63,0.021345632150769234
-60,0.03462362661957741
-57,0.05101150646805763
-54,0.06778648495674133
-51,0.08523604273796082
-48,0.10353590548038483
-45,0.12271705269813538
-42,0.1428816020488739
-39,0.16421939432621002
-36,0.18703696131706238
-33,0.2116302251815796
-30,0.23843887448310852
-27,0.2682555615901947
-24,0.302414208650589
-21,0.3436638116836548
-18,0.39999979734420776
-15,0.47494229674339294
-12,0.5499998927116394
-9,0.624942421913147
-6,0.699999988079071
-3,0.7749424576759338
0,0.8500000238418579
3,0.9249424338340759
6,1.0
